"vehicle_id","product_id","id","name","code","user_id","status","created_at","updated_at","deleted_at","updated_by","deleted_by","product_id","taxable","capacity","company_id","is_all_drivers","product_type","is_all_products","is_all_restricted_products","pan1a","pan2a","pan3a","last_known_odometer","last_timestamp_odometer","last_timestamp_transaction","tag_str_1","tag_str_2","tag_str_3","tag_str_4","tag_str_5","tag_str_6","inventory_unit"
27046,440,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,441,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,442,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,443,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,444,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,445,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,446,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,447,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,448,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,449,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,450,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,451,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,452,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,453,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,454,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,455,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,881,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27046,883,27046,"D10",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27047,3,27047,"D11",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27047,4,27047,"D11",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
27047,400,27047,"D11",NULL,28627,1,"2018-05-09 00:04:33","2018-05-09 00:04:33",NULL,28627,0,3,"fed_state",NULL,27040,1,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAL"
